MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NN,890AEL31,AEL 8.90% 2031 SR VII,      1055.05,      1056.90,      1056.90,      1056.00,      1056.90,                    26415.30,25, ,3,      1108.02,       994.00
N,NN,948SCL26A,SEC RE NCD 9.48% SR V,       333.90,       398.39,       398.39,       325.55,       325.55,                   465906.13,1170, ,3,       799.00,       303.30
N,NR,1015ECL29,SEC RED NCD 10.15% SR. VI,      1019.00,      1017.00,      1022.90,      1015.60,      1017.00,                   722424.32,710, ,17,      1114.12,       999.25
N,NR,1015SCL28,SEC RE NCD 10.15% SR VII,       900.00,      1000.00,      1000.00,      1000.00,      1000.00,                     6000.00,6, ,2,      1000.00,       610.20
N,NS,1060ECL29,SEC RED NCD 10.6% SR. VII,      1088.50,      1069.50,      1069.50,      1069.50,      1069.50,                   117645.00,110, ,1,      1288.00,       993.00
N,NS,865IIFL28,SEC RE NCD 8.65% SR.V,       993.76,       992.00,       992.50,       985.00,       991.00,                   334967.70,338, ,9,      1003.98,       890.00
N,NX,1003SFIL28,SEC RE NCD 10.50% SR.VII,       446.41,       411.00,       411.00,       411.00,       411.00,                     1644.00,4, ,1,       822.00,       400.00
N,NZ,865IFL28,SEC RE NCD 8.65% SR.V,       985.00,       985.00,       990.00,       985.00,       986.01,                   666253.75,675, ,4,      1000.00,       961.00
N,NZ,965SCL25F,SEC RE NCD 10.25% SR XII,       875.00,       840.00,       840.00,       840.00,       840.00,                    16800.00,20, ,1,      1150.00,       750.40
N,Y1,IIFLZC28B,SEC RE NCD 0% SR.VII,      1272.00,      1275.00,      1275.00,      1275.00,      1275.00,                    25500.00,20, ,1,      1288.90,      1123.00
N,Y9,9IIFL31,IIFL 9.00% TR I SR VI,      1014.00,      1021.00,      1021.00,      1021.00,      1021.00,                   153150.00,150, ,1,      1078.00,       931.59
N,YA,IIFL060326,IIFL TR I SR VII,      1019.00,      1012.00,      1012.00,      1012.00,      1012.00,                    45540.00,45, ,1,      1040.00,       931.98
N,YC,889SCFL27,SEC RE NCD 8.89% SR.VIII,       993.47,       999.00,       999.00,       991.20,       991.20,                    28822.86,29, ,3,      1000.00,       925.20
N,YI,875SCL23A,SEC RE NCD 10.03% SR X,      1010.00,      1010.00,      1010.00,      1010.00,      1010.00,                    97970.00,97, ,2,      1010.00,       901.20
N,YI,903SFL28,SEC RED NCD 9.03% SR. II,      1030.00,      1036.00,      1036.00,      1036.00,      1036.00,                    10360.00,10, ,1,      1078.00,      1020.00
N,YP,930SFL28,SEC RED NCD 9.30% SR. II,      1050.00,      1040.00,      1040.00,      1040.00,      1040.00,                    13520.00,13, ,1,      1190.00,       898.20
N,YW,957ICCL25,SEC RED NCD 9.30% SR. II,      1042.50,      1041.50,      1042.00,      1041.50,      1042.00,                   469941.50,451, ,6,      1148.00,      1025.00
N,YZ,97SFL29,SEC RED NCD 9.70% SR. V,      1091.00,      1091.55,      1091.55,      1091.55,      1091.55,                   218310.00,200, ,2,      1185.00,      1008.00
N,ZF,875SFL27,SEC RED NCD 8.75% SR.III,      1000.20,      1010.00,      1010.00,      1010.00,      1010.00,                     3030.00,3, ,1,      1096.75,       974.53
