MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ITBETA,UTIAMC-ITBETA,       324.46,       326.08,       326.17,       322.50,       322.95,                    27196.92,84,12,       409.94,       270.68,UTI NIFTY IT ETF
N,EQ,ITETF,MIRAEAMC - ITETF,        32.69,        33.05,        33.17,        32.50,        32.54,                  4159325.24,127150,481,        42.02,        27.22,MIRAE ASSET NIFTY IT ETF
N,EQ,ITIETF,ICICIPRAMC - ICICITECH,        34.24,        34.59,        34.73,        33.95,        34.01,                 12124960.21,354409,1099,        44.30,        28.54,NIFTY IT INDEX
N,EQ,IVZBANKNF,RELIGARAMC - IVZBANKNF,        57.42,        57.39,        57.56,        57.35,        57.56,                    86856.25,1513,11,        58.45,        56.90,NIFTY BANK TRI
N,EQ,IVZINGOLD,INVESCO INDIA GOLD ETF,       133.30,       134.90,       134.90,       133.50,       133.95,                  1333574.35,9964,165,     15599.80,       119.60,GOLD
N,EQ,IVZINNIFTY,INVESCO INDIA NIFTY ETF,       274.66,       267.79,       277.90,       267.79,       274.53,                    43473.14,158,40,      3150.00,       267.79,NIFTY 50
N,EQ,IVZSENSEX,RELIGARAMC - IVZSENSEX,        76.63,        77.70,        77.70,        76.54,        76.56,                    74506.45,972,17,        79.20,        75.53,BSE SENSEX TRI
N,EQ,JUNIORBEES,NIP IND ETF JUNIOR BEES,       788.74,       795.84,       795.84,       784.00,       791.07,                224784393.96,283994,7296,       823.97,       632.34,NIPPON INDIA ETF NIFTY NEXT 50 JUNIOR BEES
N,EQ,LARGEMID50,MIRAEAMC - LARGEMID50,        36.36,        36.36,        36.42,        36.27,        36.39,                    83919.80,2309,14,        38.00,        36.16,BSE LARGEMID (60:40) STABLE DIVIDEND 50 TRI (TOTAL RETURN INDEX)
N,EQ,LICMFGOLD,LIC MF - LIC GOLD ETF,       137.50,       138.90,       139.70,       138.25,       138.75,                 48638952.55,349843,551,     16200.00,       117.85,GOLD
N,EQ,LICNETFGSC,LICNAMC - LICNMFET,        29.21,        29.51,        29.51,        29.26,        29.34,                  2216618.79,75526,92,        30.53,        27.59,GSEC10 NSE INDEX
N,EQ,LICNETFN50,LICNAMC - LICNFENGP,       267.67,       269.53,       270.02,       267.59,       267.77,                    93114.23,347,21,       295.00,       248.17,NIFTY 50
N,EQ,LICNETFSEN,LICNAMC - LICNFESGP,       863.46,       868.17,       875.00,       860.00,       862.89,                    19003.47,22,6,       974.02,       803.00,SENSEX
N,EQ,LICNFNHGP,LICNAMC - LICNFNHGP,       276.04,       274.66,       275.99,       270.11,       270.61,                   104785.47,386,28,       296.41,       248.02,NIFTY 100
N,EQ,LICNMID100,LICNAMC - LICNMID100,        63.42,        63.42,        64.05,        63.42,        63.84,                   136965.25,2147,61,        67.50,        52.30,LIC MF NIFTY MIDCAP 100 ETF
N,EQ,LIQGRWBEES,NIPPONAMC - LIQGRWBEES,      1054.14,      1054.14,      1054.49,      1054.14,      1054.46,                106716360.79,101203,196,      1056.73,       995.55,LIQUID
N,EQ,LIQUID,MIRAEAMC - LIQUID,       999.99,       999.99,      1000.00,       999.99,       999.99,                328989768.63,328991,387,      1024.98,       974.99,MIRAE ASSET NIFTY 1D RATE LIQUID ETF
N,EQ,LIQUID1,KOTAKMAMC - KOTAKLIQ,      1121.04,      1121.04,      1121.45,      1121.04,      1121.43,                691374614.82,616507,764,      1136.66,      1062.62,KOTAK NIFTY 1D RATE LIQUID ETF
N,EQ,LIQUIDADD,DSPAMC - LIQUIDADD,      1143.13,      1143.55,      1143.67,      1143.50,      1143.51,                379778122.19,332115,281,      1151.22,      1083.83,DSP S&P BSE LIQUID RATE ETF
N,EQ,LIQUIDBEES,NIP IND ETF LIQUID BEES,      1000.00,      1020.00,      1020.00,       999.99,      1000.00,               2607107998.73,2607097,5798,      1029.99,       969.99,GOVERNMENT SECURITIES
