MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,SAKAR HEALTHCARE LIMITED,      1006.95,      1012.00,      1019.00,       987.95,      1013.90,                 88397021.40,87982,N, ,5941,      1024.00,       321.05
N,SAKTHI SUGARS LTD,        20.35,        20.35,        20.40,        19.61,        19.78,                  3479670.72,175324,N, ,907,        24.75,        13.52
N,SAKSOFT LIMITED,       153.69,       153.69,       156.40,       153.01,       154.58,                 27623243.88,179015,N, ,2898,       224.75,       107.59
N,SAKUMA EXPORTS LIMITED,         1.58,         1.60,         1.65,         1.55,         1.62,                  1155562.78,721220,N, ,898,         3.10,         1.10
N,SALASAR TECHNO ENGG. LTD.,         5.08,         5.12,         5.88,         5.12,         5.20,                144034125.42,26712678,N, ,20032,        10.99,         4.73
N,SALONA COTSPIN LTD.,       262.90,       259.50,       274.75,       259.00,       269.95,                    19418.20,74,N, ,19,       320.00,       200.00
N,S.A.L. STEEL LTD.,        82.04,        82.20,        84.63,        80.01,        81.37,                 19199256.30,233867,N, ,1594,        86.25,        17.76
N,SALZER ELECTRONICS LTD,       537.30,       540.00,       555.00,       537.05,       549.70,                 29911351.75,54544,N, ,2936,       952.50,       488.80
N,SAMBANDAM SPINNING MILL L,       120.00,       120.00,       125.00,       120.00,       123.23,                    25556.00,206,N, ,12,       161.90,        97.70
N,SAMBHAAV MEDIA LTD,         6.00,         5.94,         6.17,         5.70,         5.94,                   277033.86,46902,N, ,87,        11.53,         5.07
N,SAMBHV STEEL TUBES LTD,       129.64,       130.70,       131.80,       127.00,       128.69,                158356728.68,1221798,N, ,11539,       141.32,        81.42
N,SAMHI HOTELS LIMITED,       152.59,       152.59,       155.60,       152.55,       153.99,                 61151563.19,397845,N, ,10909,       222.00,       127.00
N,SAMMAAN CAPITAL LIMITED,       153.70,       155.00,       161.00,       153.51,       158.39,               2195677474.92,13853349,N, ,61464,       192.95,       123.50
N,SAMPANN UTPADAN INDIA LTD,        24.61,        24.31,        25.58,        24.31,        25.19,                   262300.50,10476,N, ,134,        43.44,        23.75
N,SANATHAN TEXTILES LIMITED,       433.05,       441.05,       474.95,       441.05,       456.20,                152999251.85,330832,N, ,8764,       551.95,       352.60
N,SANDESH LTD,      1050.90,      1069.00,      1069.00,      1035.00,      1051.30,                   786852.70,750,N, ,135,      1304.30,       811.00
N,SANDHAR TECHNOLOGIES LTD,       627.85,       631.00,       635.00,       617.15,       624.00,                 89051055.45,143060,N, ,5495,       763.20,       424.00
N,SANDUR MANG & IRON ORES L,       197.89,       198.00,       199.50,       196.50,       197.83,                 74289613.37,375487,N, ,7447,       493.40,       156.30
N,SANGAM (INDIA) LTD,       571.85,       573.25,       582.80,       572.10,       578.80,                  4441546.10,7685,N, ,733,       672.50,       362.75
N,SANGANI HOSPITALS LIMITED,        52.00,        54.60,        54.60,        54.60,        54.60,                   655200.00,12000,N, ,4,        77.00,        37.00
N,SANGHVI MOVERS LTD,       453.00,       456.40,       472.00,       436.65,       439.20,                205817384.20,455750,N, ,20233,       528.00,       223.80
N,SANOFI INDIA LIMITED,      3190.80,      3206.00,      3207.80,      3151.00,      3158.20,                 31426796.70,9898,N, ,2236,      5175.50,      3054.00
N,SANOFI CONS HEALTHC IND L,      4205.40,      4205.30,      4234.90,      4108.00,      4201.70,                 26811768.00,6432,N, ,1451,      5357.00,      3975.00
N,SANSERA ENGINEERING LTD,      3789.60,      3808.80,      3833.80,      3733.70,      3782.60,                384415391.40,101677,N, ,15246,      4084.90,      1255.10
N,SANSTAR LIMITED,       108.00,       108.00,       114.90,       108.00,       111.31,                 70871093.03,633145,N, ,4216,       137.49,        74.30
N,SAPPHIRE FOODS INDIA LTD,       228.76,       228.50,       233.99,       225.56,       228.43,                163995016.31,713459,N, ,20970,       347.90,       139.91
N,SHREE AJIT PULP & PAPER L,       280.60,       292.00,       292.00,       275.45,       281.85,                   222481.90,796,N, ,42,       334.30,       252.00
N,SARDA ENERGY & MIN LTD,       506.55,       510.05,       517.05,       504.20,       508.55,                268780675.65,526969,N, ,18591,       639.75,       453.10
N,SAREGAMA INDIA LIMITED,       493.65,       498.40,       500.00,       488.10,       492.75,                175066514.35,353123,N, ,20683,       574.50,       307.05
N,SARLA PERF. FIBERS LTD,       102.15,       102.75,       102.98,        97.75,       100.20,                  9805592.12,97835,N, ,1452,       111.00,        68.40
N,SAR TELEVENTURE LIMITED,        91.35,        91.50,        93.50,        89.00,        89.40,                  3584000.00,39500,N, ,58,       264.85,        88.40
N,SARVESHWAR FOODS LIMITED,         3.35,         3.38,         3.43,         3.33,         3.36,                  4153755.00,1228078,N, ,1558,         8.25,         2.50
N,SASKEN TECHNOLOGIES LTD,      1902.40,      1925.40,      1925.40,      1870.50,      1881.30,                 23416269.10,12365,N, ,1492,      2780.20,       991.00
N,S A TECH SOFTWARE INDIA L,        38.40,        38.80,        40.65,        38.80,        39.60,                   798700.00,20000,N, ,18,        60.75,        31.15
N,SATIA INDUSTRIES LIMITED,        60.37,        60.74,        63.85,        60.01,        63.36,                 15846293.08,251939,N, ,2801,        86.00,        50.80
N,SATIN CREDIT NET LTD,       219.37,       220.39,       223.48,       217.58,       220.75,                 45317702.96,205973,N, ,4012,       274.14,       135.08
N,SAT KARTAR LIFE LIMITED,       118.20,       118.40,       118.40,       115.95,       116.70,                  3371400.00,28800,N, ,27,       219.80,       112.00
N,SATTVA ENGINEERING CSTN L,        62.00,        63.00,        63.00,        61.10,        61.50,                   695520.00,11200,N, ,7,       118.90,        43.50
N,SAURASHTRA CEMENT LIMITED,        56.81,        56.81,        58.60,        56.00,        57.61,                  5258779.65,90990,N, ,1185,        72.46,        53.00
N,SAVY INFRA AND LOGI LTD,       135.10,       135.10,       141.20,       135.10,       136.15,                 19156380.00,139200,N, ,48,       191.00,       108.00
N,SAWALIYA FOOD PRODUCTS L,       150.15,       152.00,       159.95,       152.00,       159.95,                  1323090.00,8400,N, ,14,       351.00,       137.70
N,SAYAJI HOTELS LTD.,       303.80,       325.00,       325.00,       315.00,       319.35,                     3820.40,12,N, ,8,       365.20,       265.50
N,SAYAJI INDUSTRIES LTD.,       119.89,       119.89,       119.89,       116.01,       116.11,                    12340.11,103,N, ,4,       125.00,       106.50
N,SBC EXPORTS LIMITED,        43.25,        43.48,        46.89,        43.45,        45.76,                597265711.23,13241116,N, ,14431,        46.89,        19.09
N,SHIVALIK BIMETAL CON. LTD,      1155.90,      1189.30,      1215.70,      1102.40,      1121.10,                919033802.70,810275,N, ,44614,      1215.70,       368.60
N,SBFC FINANCE LIMITED,        99.90,        99.90,       100.67,        98.37,       100.08,                 81360850.16,817043,N, ,8451,       123.00,        79.60
N,SURATWWALA BUS GROUP LTD,        24.68,        25.68,        25.68,        23.60,        23.96,                   295701.08,12199,N, ,187,        40.90,        18.35
N,SBI CARDS & PAY SER LTD,       661.00,       661.00,       668.70,       656.30,       658.25,               1160644231.25,1752698,N, ,25566,       965.00,       565.45
N,SBI FUNDS MANAGEMENT LTD,       564.00,       563.90,       565.50,       558.90,       562.10,                642526388.00,1143214,N, ,26282,       624.95,       536.50
N,SCHAEFFLER INDIA LIMITED,      3950.60,      3950.00,      4004.60,      3871.70,      3956.40,                211898727.40,53652,N, ,11259,      4467.70,      3518.40
N,S CHAND AND COMPANY LTD,       136.73,       136.00,       137.99,       135.35,       136.41,                  1451067.69,10647,N, ,418,       200.00,       130.05
